,edge,gene1,gene2,q_value,scg
1097,31-44,31,44,0.0,False
1098,31-45,31,45,0.0,False
1099,31-46,31,46,0.0,False
1100,31-47,31,47,0.0,False
1101,31-48,31,48,0.0,False
1102,31-49,31,49,0.0,False
1103,31-50,31,50,0.0,False
1104,32-33,32,33,0.0,False
1105,32-34,32,34,0.0,False
1106,32-35,32,35,0.0,False
1107,32-36,32,36,0.0,False
1108,32-37,32,37,0.0,False
1109,32-38,32,38,0.0,False
1110,32-39,32,39,0.0,False
1111,32-40,32,40,0.0,False
1112,32-41,32,41,0.0,False
1113,32-42,32,42,0.0,False
1114,32-43,32,43,0.0,False
1115,32-44,32,44,0.0,False
1116,32-45,32,45,0.0,False
1117,32-46,32,46,0.0,False
1118,32-47,32,47,0.0,False
1119,32-48,32,48,0.0,False
1120,32-49,32,49,0.0,False
1121,32-50,32,50,0.0,False
1122,33-34,33,34,0.10399999999999998,False
1123,33-35,33,35,0.01200000000000001,False
1124,33-36,33,36,0.0,False
1125,33-37,33,37,0.0,False
1126,33-38,33,38,0.0,False
1127,33-39,33,39,1.0,True
1128,33-40,33,40,0.964,True
1129,33-41,33,41,0.07599999999999996,False
1130,33-42,33,42,0.0,False
1131,33-43,33,43,0.0,False
1132,33-44,33,44,0.0,False
1133,33-45,33,45,0.0,False
1134,33-46,33,46,0.0,False
1135,33-47,33,47,0.0,False
1136,33-48,33,48,0.0,False
1137,33-49,33,49,1.0,True
1138,33-50,33,50,0.0,False
1139,34-35,34,35,0.0,False
1140,34-36,34,36,0.0,False
1141,34-37,34,37,0.0,False
1142,34-38,34,38,0.0,False
1143,34-39,34,39,0.978,True
1144,34-40,34,40,0.5680000000000001,True
1145,34-41,34,41,0.0,False
1146,34-42,34,42,0.0,False
1147,34-43,34,43,0.0,False
1148,34-44,34,44,0.0020000000000000018,False
1149,34-45,34,45,0.0,False
1150,34-46,34,46,0.0,False
1151,34-47,34,47,0.0,False
1152,34-48,34,48,0.0,False
1153,34-49,34,49,1.0,True
1154,34-50,34,50,0.0,False
1155,35-36,35,36,0.0,False
1156,35-37,35,37,0.0,False
1157,35-38,35,38,0.0,False
1158,35-39,35,39,0.912,True
1159,35-40,35,40,0.24,False
1160,35-41,35,41,0.0,False
1161,35-42,35,42,0.0,False
1162,35-43,35,43,0.0,False
1163,35-44,35,44,0.0020000000000000018,False
1164,35-45,35,45,0.0,False
1165,35-46,35,46,0.0,False
1166,35-47,35,47,0.0,False
1167,35-48,35,48,0.0,False
1168,35-49,35,49,1.0,True
1169,35-50,35,50,0.0,False
1170,36-37,36,37,0.0,False
1171,36-38,36,38,0.0,False
1172,36-39,36,39,0.05600000000000005,False
1173,36-40,36,40,0.0,False
1174,36-41,36,41,0.0,False
1175,36-42,36,42,0.0,False
1176,36-43,36,43,0.0,False
1177,36-44,36,44,0.0,False
1178,36-45,36,45,0.0,False
1179,36-46,36,46,0.0,False
1180,36-47,36,47,0.0,False
1181,36-48,36,48,0.0,False
1182,36-49,36,49,0.0,False
1183,36-50,36,50,0.0,False
1184,37-38,37,38,0.0,False
1185,37-39,37,39,0.0,False
1186,37-40,37,40,0.0,False
1187,37-41,37,41,0.0,False
1188,37-42,37,42,0.0,False
1189,37-43,37,43,0.0,False
1190,37-44,37,44,0.0,False
1191,37-45,37,45,0.0,False
1192,37-46,37,46,0.0,False
1193,37-47,37,47,0.0,False
1194,37-48,37,48,0.0,False
1195,37-49,37,49,0.0,False
1196,37-50,37,50,0.0,False
1197,38-39,38,39,0.0,False
1198,38-40,38,40,0.0,False
1199,38-41,38,41,0.0,False
1200,38-42,38,42,0.0,False
1201,38-43,38,43,0.0,False
